lol﻿,name,unit,unit_type,bedroom,group,tenantid,resident_name,resident_rent,unit_rent,status,days_vacant,move_in,move_out,lease_from,lease_to,amenities,company_id
,Aventura Isles,001-0415,iy-2-2b,2,Occupied No Notice,t0002315,Michael Gregory,1934,2166,Current,0,4/10/13,,5/10/16,5/9/17,Bld1Fl4- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0417,iy-2-2b,2,Occupied No Notice,t0013983,Susan Davies,2167,2221,Current,0,10/1/14,,7/1/16,6/30/17,Bld1Fl4- msc_terrace_3- Kitchen and Bathroom Upgrade- Stainless Steel Appliances- Porcelain Tile,1
,Aventura Isles,001-0501,iy-1-1a,1,Occupied No Notice,t0017602,Ricardo Cuevas,1557,1776,Current,0,9/1/15,,8/1/16,7/31/17,Bld1FL5,1
,Aventura Isles,001-0502,iy-2-2b,2,Occupied No Notice,t0020038,Mario Rosenthal,1939,2091,Current,0,4/8/16,,4/8/16,4/7/17,Bld1FL5- Line_view_1-2,1
,Aventura Isles,001-0503,iy-2-2b,2,Occupied No Notice,t0009514,Nicholas Duncan,2006,2126,Current,0,11/5/13,,10/1/16,9/30/17,Bld1FL5- Kitchen and Bathroom Upgrade- Tile Upgrade- Line_view_1-3,1
,Aventura Isles,001-0504,iy-2-2b,2,Occupied No Notice,t0019816,Anika Abreu,1998,2146,Current,0,5/20/16,,5/20/16,5/19/17,Bld1FL5- Kitchen and Bathroom Upgrade- Line_view_1-4,1
,Aventura Isles,001-0505,iy-2-2b,2,Notice Unrented,t0018271,Oriana Casanas,2394,2191,Eviction,0,10/9/15,5/15/17,10/9/15,10/8/16,Bld1FL5- Line_view_1-5- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0506,iy-2-2b,2,Occupied No Notice,t0002264,Jake Porter,1954,2206,Current,0,4/27/13,,7/27/16,7/26/17,Bld1FL5- Line_view_1-6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0507,iy-1-1a,1,Occupied No Notice,t0021286,Bethanny Ferry,1673,1826,Current,0,7/19/16,,7/19/16,6/18/17,Bld1FL5- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0508,iy-2-2b,2,Occupied No Notice,t0022719,Skye Aniko,2163,2266,Current,0,1/5/17,,1/5/17,1/4/18,Bld1FL5- Line_view_1-8- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0509,iy-1-1a,1,Occupied No Notice,t0014192,Philip De la Cal,1619,1776,Current,0,9/15/16,,9/15/16,9/14/17,Bld1FL5,1
,Aventura Isles,001-0510,iy-2-2b,2,Occupied No Notice,t0000941,Cortland Messam,1895,2131,Current,0,5/15/11,,8/1/16,7/31/17,Bld1FL5- Line_view_1-10,1
,Aventura Isles,001-0511,iy-1-1a,1,Notice Unrented,t0011849,John Fox,1734,1876,Notice,0,4/18/14,4/17/17,4/18/16,4/17/17,Bld1FL5- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0512,iy-2-2b,2,Occupied No Notice,t0000943,Daniel Villegas,1914,2191,Current,0,12/1/08,,8/1/16,7/31/17,Bld1FL5- Line_view_1-12- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0514,iy-3-2c,3,Occupied No Notice,t0062590,William Lapko,2496,2886,Current,0,5/10/16,,10/1/16,11/30/17,Bld1FL5- Line view 1-14- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0515,iy-2-2b,2,Occupied No Notice,t0021043,Rachel Fischer,2023,2176,Current,0,6/27/16,,6/27/16,6/26/17,Bld1FL5- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0517,iy-2-2b,2,Occupied No Notice,t0000946,Ed Toro,1956,2081,Current,0,8/18/10,,1/1/17,11/30/17,Bld1FL5- Line_view_1-17- Tile Upgrade,1
,Aventura Isles,001-0601,iy-1-1a,1,Occupied No Notice,t0022641,Austin Bunsen,1760,1886,Current,0,12/3/16,,12/3/16,12/2/17,Bld1FL6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0602,iy-2-2b,2,Occupied No Notice,t0013114,Jose Cartagena,2057,2201,Current,0,6/9/16,,6/9/16,6/8/17,Bld1FL6- Tile Upgrade- Kitchen and Bathroom Upgrade- Line_view_1-2,1
,Aventura Isles,001-0603,iy-2-2b,2,Occupied No Notice,t0016023,Bianca Monaco,1930,2086,Current,0,2/12/16,,2/12/17,2/11/18,Bld1FL6- Kitchen and Bathroom Upgrade- Line_view_1-3,1
,Aventura Isles,001-0604,iy-2-2b,2,Occupied No Notice,t0020156,Juha Mikkola,2062,2206,Current,0,6/10/16,,6/10/16,6/9/17,Line_view_1-4- Bld1FL6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0605,iy-2-2b,2,Occupied No Notice,t0014079,Johanna Mikkola,1969,2101,Current,0,10/10/14,,10/10/16,10/9/17,Bld1FL6- Line_view_1-5,1
,Aventura Isles,001-0606,iy-2-2b,2,Occupied No Notice,t0013650,Don Morehouse,2100,2216,Current,0,10/7/16,,10/7/16,10/6/17,Bld1FL6- Line_view_1-6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0607,iy-1-1a,1,Occupied No Notice,t0012182,Mario Aguayo,1717,1886,Current,0,4/23/16,,4/23/16,4/22/17,Bld1FL6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0608,iy-2-2b,2,Occupied No Notice,t0005454,Israel Martinez,2001,2126,Current,0,8/13/13,,7/12/16,7/11/17,Bld1FL6- Line_view_1-8- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0609,iy-1-1a,1,Occupied No Notice,t0023130,Angel Vargas,1763,1886,Current,0,2/3/17,,2/3/17,2/2/18,Bld1FL6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0610,iy-2-2b,2,Occupied No Notice,t0020158,Michael Gregory,2145,2291,Current,0,5/14/16,,5/14/16,5/13/17,Bld1FL6- Line_view_1-10- Tile Upgrade- Kitchen and Bathroom Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0611,iy-1-1a,1,Occupied No Notice,t0017891,Susan Davies,1489,1786,Current,0,9/4/15,,8/4/16,8/3/17,Bld1FL6,1
,Aventura Isles,001-0612,iy-2-2b,2,Occupied No Notice,t0000958,Ricardo Cuevas,1964,2151,Current,0,9/1/10,,11/1/16,10/31/17,Bld1FL6- Line_view_1-12,1
,Aventura Isles,001-0614,iy-3-2c,3,Occupied No Notice,t0021098,Mario Rosenthal,2923,3071,Current,0,8/1/16,,8/1/16,7/31/17,Bld1FL6- Line view 1-14- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances- Bedroom Tile- 2nd Bedroom Tile- 3rd Bedroom Tile Upgrade,1
,Aventura Isles,001-0615,iy-2-2b,2,Occupied No Notice,t0005515,Nicholas Duncan,1964,2186,Current,0,7/10/13,,8/10/16,7/9/17,Bld1FL6- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0617,iy-2-2b,2,Notice Unrented,t0021248,Anika Abreu,2175,2141,Notice,0,7/15/16,4/14/17,7/15/16,2/14/17,Bld1FL6- Line_view_1-17- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0701,iy-1-1a,1,Occupied No Notice,t0021447,Oriana Casanas,1526,1796,Current,0,8/7/16,,8/8/16,10/6/17,Bld1FL7,1
,Aventura Isles,001-0702,iy-2-2b,2,Occupied No Notice,t0000963,Jake Porter,1964,2,Current,0,2/1/10,,3/1/16,2/28/18,Bld1FL7- Line_view_1-2,1
,Aventura Isles,001-0703,iy-2-2b,2,Occupied No Notice,t0000964,Bethanny Ferry,2249,2296,Current,0,2/14/12,,3/1/16,2/28/18,Bld1FL7- Kitchen and Bathroom Upgrade- Porcelain Tile in Bedroom- 2nd Porcelain bedroom Tile Upg- Porcelain Tile- Line_view_1-3,1
,Aventura Isles,001-0704,iy-2-2b,2,Occupied No Notice,t0002140,Skye Aniko,2056,2216,Current,0,2/25/13,,2/8/17,9/7/17,Line_view_1-4- Bld1FL7- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0705,iy-2-2b,2,Occupied No Notice,t0019364,Philip De la Cal,2014,2261,Current,0,1/28/16,,8/28/16,8/27/17,Bld1FL7- Line_view_1-5- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0706,iy-2-2b,2,Occupied No Notice,t0000967,Cortland Messam,1912,2126,Current,0,7/13/09,,2/1/17,1/31/18,Bld1FL7- Line_view_1-6,1
,Aventura Isles,001-0707,iy-1-1a,1,Occupied No Notice,t0005295,John Fox,1594,1846,Current,0,6/15/13,,8/15/16,7/14/17,Bld1FL7- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0708,iy-2-2b,2,Occupied No Notice,t0000969,Daniel Villegas,2089,2236,Current,0,8/29/12,,11/1/16,10/31/17,Bld1FL7- Line_view_1-8- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0709,iy-1-1a,1,Occupied No Notice,t0018182,William Lapko,1649,1896,Current,0,10/1/15,,7/1/16,6/30/17,Bld1FL7- Kitchen and Bathroom Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0710,iy-2-2b,2,Occupied No Notice,t0057344,Rachel Fischer,2195,2301,Current,0,2/5/16,,2/5/17,9/4/17,Bld1FL7- Line_view_1-10- Kitchen and Bathroom Upgrade- Stainless Steel Appliances- Tile Upgrade,1
,Aventura Isles,001-0711,iy-1-1a,1,Occupied No Notice,t0018911,Ed Toro,1699,1846,Current,0,12/19/15,,12/19/16,12/18/17,Bld1FL7- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0712,iy-2-2b,2,Notice Rented,t0023223,Austin Bunsen,2117,2211,Applicant,0,3/10/17,,3/10/17,3/9/18,Bld1FL7- Line_view_1-12- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0714,iy-3-2c,3,Occupied No Notice,t0018694,Jose Cartagena,2469,2956,Current,0,11/25/15,,8/25/16,6/24/17,Bld1FL7- Line view 1-14- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0715,iy-2-2b,2,Occupied No Notice,t0017584,Bianca Monaco,2008,2196,Current,0,8/3/15,,8/3/16,7/2/17,Bld1FL7- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0717,iy-2-2b,2,Occupied No Notice,t0068930,Juha Mikkola,1909,2051,Current,0,8/26/16,,8/26/16,8/25/17,Bld1FL7- Line_view_1-17,1
,Aventura Isles,001-0801,iy-1-1a,1,Occupied No Notice,t0017315,Johanna Mikkola,1659,1956,Current,0,7/30/15,,7/30/16,7/29/17,Bld1FL8- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0802,iy-2-2b,2,Occupied No Notice,t0000978,Don Morehouse,1966,2121,Current,0,5/1/09,,11/1/16,10/31/17,Bld1FL8- Line_view_1-2,1
,Aventura Isles,001-0803,iy-2-2b,2,Occupied No Notice,t0002237,Mario Aguayo,1934,2156,Current,0,3/29/13,,2/1/17,1/31/18,Bld1FL8- Kitchen and Bathroom Upgrade- Tile Upgrade- Line_view_1-3,1
,Aventura Isles,001-0804,iy-2-2b,2,Occupied No Notice,t0021025,Israel Martinez,2083,2226,Current,0,6/27/16,,6/27/16,6/26/17,Line_view_1-4- Bld1FL8- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0805,iy-2-2b,2,Occupied No Notice,t0021161,Angel Vargas,2152,2221,Current,0,7/10/16,,7/10/16,7/9/17,Bld1FL8- Line_view_1-5- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0806,iy-2-2b,2,Occupied No Notice,t0002146,Michael Gregory,2004,2186,Current,0,3/10/13,,3/10/16,3/9/17,Bld1FL8- Line_view_1-6- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0807,iy-1-1a,1,Occupied No Notice,t0002122,Susan Davies,1698,1806,Current,0,3/25/15,,10/25/16,5/24/17,Bld1FL8,1
,Aventura Isles,001-0808,iy-2-2b,2,Occupied No Notice,t0014383,Ricardo Cuevas,2175,2296,Current,0,9/8/16,,9/8/16,8/7/17,Bld1FL8- Line_view_1-8- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0809,iy-1-1a,1,Notice Unrented,t0021824,Mario Rosenthal,1756,1906,Notice,0,9/1/16,3/31/17,9/1/16,3/31/17,Bld1FL8- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0810,iy-2-2b,2,Occupied No Notice,t0072262,Nicholas Duncan,2250,2361,Current,0,11/5/16,,11/5/16,10/4/17,Bld1FL8- Line_view_1-10- Kitchen and Bathroom Upgrade- Tile Upgrade- Bedroom Tile- 2nd Bedroom Tile- Stainless Steel Appliances,1
,Aventura Isles,001-0811,iy-1-1a,1,Occupied No Notice,t0021718,Anika Abreu,1682,1906,Current,0,8/23/16,,8/23/16,10/22/17,Bld1FL8- Tile Upgrade- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0812,iy-2-2b,2,Occupied No Notice,t0000988,Oriana Casanas,1889,2171,Current,0,5/6/09,,11/1/16,10/31/17,Bld1FL8- Line_view_1-12,1
,Aventura Isles,001-0814,iy-3-2c,3,Occupied No Notice,t0021742,Jake Porter,2827,2966,Current,0,8/27/16,,8/27/16,8/26/17,Bld1FL8- Line view 1-14- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0815,iy-2-2b,2,Occupied No Notice,t0022678,Bethanny Ferry,2096,2206,Current,0,12/15/16,,12/15/16,11/14/17,Bld1FL8- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0817,iy-2-2b,2,Occupied No Notice,t0000959,Skye Aniko,1884,2161,Current,0,7/17/15,,7/17/16,7/16/17,Bld1FL8- Line_view_1-17- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0901,iy-1-1a,1,Occupied No Notice,t0017490,Philip De la Cal,1525,1816,Current,0,9/27/15,,9/27/16,9/26/17,Bld1FL9,1
,Aventura Isles,001-0902,iy-2-2b,2,Occupied No Notice,t0016388,Cortland Messam,2086,2181,Current,0,4/30/15,,4/1/16,3/31/18,Bld1FL9- Kitchen and Bathroom Upgrade- Line_view_1-2,1
,Aventura Isles,001-0903,iy-2-2b,2,Occupied No Notice,t0075275,John Fox,2061,2166,Current,0,2/10/17,,2/10/17,2/9/18,Bld1FL9- Kitchen and Bathroom Upgrade- Tile Upgrade- Line_view_1-3,1
,Aventura Isles,001-0904,iy-2-2b,2,Occupied No Notice,t0000995,Daniel Villegas,2030,2136,Current,0,8/1/07,,2/1/17,1/31/18,Line_view_1-4- Bld1FL9,1
,Aventura Isles,001-0905,iy-2-2b,2,Occupied No Notice,t0000996,William Lapko,1821,2131,Current,0,2/6/07,,11/1/16,10/31/17,Bld1FL9- Line_view_1-5,1
,Aventura Isles,001-0906,iy-2-2b,2,Notice Unrented,t0003528,Rachel Fischer,2096,2346,Notice,0,6/10/13,4/9/17,8/10/16,4/9/17,Bld1FL9- Line_view_1-6- Kitchen and Bathroom Upgrade- Stainless Steel Appliances- Tile Upgrade- Bedroom Tile- 2nd Bedroom Tile,1
,Aventura Isles,001-0907,iy-1-1a,1,Occupied No Notice,t0000998,Ed Toro,1584,1866,Current,0,10/18/12,,11/1/16,10/31/17,Bld1FL9- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0908,iy-2-2b,2,Occupied No Notice,t0000999,Austin Bunsen,2109,2256,Current,0,12/7/09,,4/1/16,3/31/18,Bld1FL9- Line_view_1-8- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0909,iy-1-1a,1,Occupied No Notice,t0017553,Jose Cartagena,1564,1816,Current,0,7/29/15,,7/29/16,7/28/17,Bld1FL9,1
,Aventura Isles,001-0910,iy-2-2b,2,Occupied No Notice,t0002256,Bianca Monaco,2038,2271,Current,0,4/1/13,,7/1/16,6/30/17,Bld1FL9- Line_view_1-10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0911,iy-1-1a,1,Notice Unrented,t0009851,Juha Mikkola,1689,1916,Notice,0,10/1/15,4/30/17,10/1/16,4/30/17,Bld1FL9- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0912,iy-2-2b,2,Occupied No Notice,t0016840,Johanna Mikkola,2099,2331,Current,0,6/19/15,,6/19/16,6/18/17,Bld1FL9- Line_view_1-12- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-0914,iy-3-2c,3,Occupied No Notice,t0020340,Don Morehouse,2644,3101,Current,0,5/1/16,,2/1/17,1/31/18,Bld1FL9- Line view 1-14- Kitchen and Bathroom Upgrade- Stainless Steel Appliances- Tile Upgrade- 2nd Bedroom Tile- Bedroom Tile- 3rd Bedroom Tile Upgrade,1
,Aventura Isles,001-0915,iy-2-2b,2,Occupied No Notice,t0017319,Mario Aguayo,1991,2216,Current,0,7/18/15,,7/18/16,7/17/17,Bld1FL9- Line_view_1-15- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-0917,iy-2-2b,2,Occupied No Notice,t0001006,Israel Martinez,1856,2071,Current,0,10/1/08,,2/1/17,1/31/18,Bld1FL9- Line_view_1-17,1
,Aventura Isles,001-1001,iy-1-1a,1,Occupied No Notice,t0021301,Angel Vargas,1769,1926,Current,0,8/10/16,,8/10/16,8/9/17,Bld1FL10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1002,iy-2-2b,2,Occupied No Notice,t0019004,Michael Gregory,2073,2241,Current,0,2/17/16,,2/17/17,2/16/18,Bld1FL10- Kitchen and Bathroom Upgrade- Tile Upgrade- Line_view_1-2,1
,Aventura Isles,001-1003,iy-2-2b,2,Occupied No Notice,t0000816,Susan Davies,1845,2076,Current,0,7/31/07,,2/1/17,1/31/18,Bld1FL10- Line_view_1-3,1
,Aventura Isles,001-1004,iy-2-2b,2,Occupied No Notice,t0000817,Ricardo Cuevas,2014,2246,Current,0,10/4/11,,11/1/16,10/31/17,Line_view_1-4- Bld1FL10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1005,iy-2-2b,2,Occupied No Notice,t0019612,Mario Rosenthal,2100,2241,Current,0,8/20/16,,8/20/16,8/19/17,Bld1FL10- Line_view_1-5- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1006,iy-2-2b,2,Occupied No Notice,t0016938,Nicholas Duncan,2015,2156,Current,0,7/11/16,,7/11/16,7/10/17,Bld1FL10- Line_view_1-6,1
,Aventura Isles,001-1007,iy-1-1a,1,Occupied No Notice,t0021832,Anika Abreu,1719,1876,Current,0,9/3/16,,9/3/16,9/2/17,Bld1FL10- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-1008,iy-2-2b,2,Occupied No Notice,t0073739,Oriana Casanas,2238,2316,Current,0,12/2/16,,12/2/16,7/1/17,Bld1FL10- Line_view_1-8- Tile Upgrade- Kitchen and Bathroom Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-1009,iy-1-1a,1,Vacant Unrented,t0018894,Jake Porter,1700,1926,Past,13,12/8/15,2/8/17,7/8/16,2/7/17,Bld1FL10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1010,iy-2-2b,2,Occupied No Notice,t0018066,Bethanny Ferry,2079,2281,Current,0,10/7/15,,10/7/16,10/6/17,Bld1FL10- Line_view_1-10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1011,iy-1-1a,1,Occupied No Notice,t0018974,Skye Aniko,1726,1876,Current,0,12/14/15,,2/1/17,8/31/17,Bld1FL10- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-1012,iy-2-2b,2,Occupied No Notice,t0021224,Philip De la Cal,2154,2291,Current,0,9/26/16,,9/26/16,9/25/17,Bld1FL10- Line_view_1-12- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1014,iy-3-2c,3,Occupied No Notice,t0018732,Cortland Messam,2600,2986,Current,0,2/5/16,,2/5/17,2/4/18,Bld1FL10- Line view 1-14- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1015,iy-2-2b,2,Occupied No Notice,t0000828,John Fox,2020,2126,Current,0,1/28/13,,2/1/17,1/31/18,Bld1FL10- Line_view_1-15- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-1017,iy-2-2b,2,Occupied No Notice,t0008852,Daniel Villegas,2002,2181,Current,0,10/15/13,,10/15/16,10/14/17,Bld1FL10- Line_view_1-17- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1101,iy-1-1a,1,Occupied No Notice,t0015671,William Lapko,2014,1881,Current,0,3/6/15,,3/6/16,10/5/17,Bld1FL11- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-1102,iy-2-2b,2,Occupied No Notice,t0069744,Rachel Fischer,2108,2246,Current,0,10/6/16,,10/6/16,10/5/17,Bld1FL11- Kitchen and Bathroom Upgrade- Tile Upgrade- Line_view_1-2,1
,Aventura Isles,001-1103,iy-2-2b,2,Notice Unrented,t0020311,Ed Toro,2106,2231,Notice,0,4/27/16,4/26/17,4/27/16,2/26/17,Bld1FL11- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances- Line_view_1-3,1
,Aventura Isles,001-1104,iy-2-2b,2,Occupied No Notice,t0001524,Austin Bunsen,2064,2201,Current,0,6/14/13,,8/14/16,8/13/17,Line_view_1-4- Bld1FL11- Tile Upgrade,1
,Aventura Isles,001-1105,iy-2-2b,2,Occupied No Notice,t0018961,Jose Cartagena,2099,2246,Current,0,12/19/15,,12/20/16,12/19/17,Bld1FL11- Line_view_1-5- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1106,iy-2-2b,2,Occupied No Notice,t0069195,Bianca Monaco,2122,2261,Current,0,9/15/16,,9/15/16,8/14/17,Bld1FL11- Line_view_1-6- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1107,iy-1-1a,1,Occupied No Notice,t0017796,Juha Mikkola,1719,1881,Current,0,8/28/15,,6/1/16,5/31/17,Bld1FL11- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-1108,iy-2-2b,2,Occupied No Notice,t0018375,Johanna Mikkola,2074,2321,Current,0,12/9/15,,11/9/16,11/8/17,Bld1FL11- Line_view_1-8- Kitchen and Bathroom Upgrade- Tile Upgrade- Stainless Steel Appliances,1
,Aventura Isles,001-1109,iy-1-1a,1,Occupied No Notice,t0022727,Don Morehouse,1707,1881,Current,0,1/17/17,,1/16/17,1/15/18,Bld1FL11- Kitchen and Bathroom Upgrade,1
,Aventura Isles,001-0,iy-2-2b,2,Occupied No Notice,t0021081,Mario Aguayo,2028,2286,Current,0,6/29/16,,6/29/16,2/28/18,Bld1FL11- Line_view_1-10- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-1,iy-1-1a,1,Occupied No Notice,t0022122,Israel Martinez,1810,1956,Current,0,11/1/16,,11/1/16,9/30/17,Bld1FL11- Kitchen and Bathroom Upgrade- Tile Upgrade- Bedroom Tile,1
,Aventura Isles,001-2,iy-2-2b,2,Occupied No Notice,t0016939,Angel Vargas,2159,2346,Current,0,6/17/15,,6/17/16,6/16/17,Bld1FL11- Line_view_1-12- 2nd Bedroom Tile- Bedroom Tile- Kitchen and Bathroom Upgrade- Tile Upgrade,1
,Aventura Isles,001-4,iy-3-2c,3,Occupied No Notice,t0011284,Michael Gregory,2759,3071,Current,0,11/27/15,,11/27/16,11/26/17,3brBld1FL11- Line view 1-14- 3rd Bedroom Tile Upgrade- 2nd Bedroom Tile- Bedroom Tile- Kitchen and Bathroom Upgrade- Tile Upgrade,1
